<TICKER>,<PER>,date,time,open,high,low,close,volume,<OPENINT>
WIG20,60,20240528,150000,2507.08,2507.19,2495.85,2495.99,2102587,0
WIG20,60,20240528,160000,2495.86,2505.67,2495.34,2498.97,2375895,0
WIG20,60,20240528,170000,2499.83,2508.9,2498.24,2505.97,6120795,0
WIG20,60,20240529,100000,2503.38,2503.75,2477.6,2482.61,3713478,0
WIG20,60,20240529,110000,2482.6,2486.19,2479.26,2483.91,2155279,0
WIG20,60,20240529,120000,2484.07,2486.08,2476.86,2477.84,1564522,0
WIG20,60,20240529,130000,2477.88,2478.16,2470.58,2477.79,2797101,0
WIG20,60,20240529,140000,2477.6,2479.15,2472.19,2474.65,2201959,0
WIG20,60,20240529,150000,2474.61,2476.53,2463.74,2463.74,3599406,0
WIG20,60,20240529,160000,2463.89,2470.82,2460.33,2467.27,3329960,0
WIG20,60,20240529,170000,2467.74,2470.8,2463.98,2463.98,6773921,0
WIG20,60,20240531,100000,2463.9,2470.29,2453.68,2467.84,3445977,0
WIG20,60,20240531,110000,2468.22,2484.36,2467.82,2482.79,3174051,0
WIG20,60,20240531,120000,2482.98,2485.72,2478.14,2482.33,2245225,0
WIG20,60,20240531,130000,2482.39,2484,2474.1,2480.54,1875548,0
WIG20,60,20240531,140000,2481.66,2487.15,2479.85,2485.35,2223205,0
WIG20,60,20240531,150000,2485.68,2498.19,2485.48,2495.94,2767682,0
WIG20,60,20240531,160000,2495.41,2501.62,2487.82,2488.25,3832588,0
WIG20,60,20240531,170000,2488.53,2492.92,2477.93,2485.53,43189164,0
WIG20,60,20240603,100000,2511.05,2523.05,2506.1,2506.1,2553708,0
WIG20,60,20240603,110000,2506.46,2512.66,2502.74,2508.43,1533565,0
WIG20,60,20240603,120000,2508.31,2508.31,2500.04,2504.66,940003,0
WIG20,60,20240603,130000,2505.06,2511.61,2502.99,2504.14,888211,0
WIG20,60,20240603,140000,2504.04,2512.8,2503.25,2512.07,1369040,0
WIG20,60,20240603,150000,2512.8,2513.49,2507.08,2512.34,1704568,0
WIG20,60,20240603,160000,2512.37,2514.39,2495.69,2498.26,2086727,0
WIG20,60,20240603,170000,2498.21,2502.92,2496.92,2496.92,3987232,0
WIG20,60,20240604,100000,2495.34,2495.34,2467.79,2468.21,1910541,0
WIG20,60,20240604,110000,2468.07,2468.07,2454.41,2454.41,2050792,0
WIG20,60,20240604,120000,2453.94,2453.94,2440.28,2443.61,2261655,0
WIG20,60,20240604,130000,2443.49,2444.38,2434.87,2436.69,2358737,0
WIG20,60,20240604,140000,2436.97,2450.49,2436.81,2449.3,1607618,0
WIG20,60,20240604,150000,2449.53,2449.79,2442.95,2445.22,1615207,0
WIG20,60,20240604,160000,2445.04,2451.58,2443.22,2444.69,1808662,0
WIG20,60,20240604,170000,2444.19,2448.18,2433.81,2433.81,5211970,0
WIG20,60,20240605,100000,2445.86,2448.34,2434.14,2443.59,2156183,0
WIG20,60,20240605,110000,2443.56,2447.24,2441,2444.54,1240054,0
WIG20,60,20240605,120000,2443.37,2444.44,2437.3,2440.39,1510958,0
WIG20,60,20240605,130000,2440.62,2444.47,2437.39,2437.79,944482,0
